x_vals,y_vals,labels
57.991802,-40.250187,’
65.72487,-39.972343,de
63.794804,-41.883183,la
63.826904,-39.729774,et
63.27784,-41.413002,le
65.164375,-39.30984,à
56.826782,-40.68514,il
65.466644,-41.794693,les
60.98002,-41.84304,l
62.20455,-42.15092,un
53.016167,-37.173412,que
61.01018,-41.84146,d
60.05054,-39.661064,en
62.33542,-42.14828,une
65.49234,-41.635136,des
56.887398,-40.689087,elle
61.263668,-39.742,qui
51.99073,-37.14126,je
53.123398,-38.228893,pas
52.680965,-37.926136,ne
55.22305,-40.226727,qu
65.89962,-40.147247,dans
63.656292,-40.26385,se
65.46666,-40.78004,du
52.02135,-37.09198,vous
57.957672,-38.82164,pour
54.762108,-41.125755,est
54.614845,-38.75388,ce
60.796993,-41.75193,s
63.970177,-41.933243,son
55.011578,-41.113453,était
53.880886,-39.31177,n
57.465378,-38.302757,lui
55.33856,-40.628876,avait
65.44663,-40.835808,au
55.4523,-38.686348,plus
64.14313,-42.04182,sa
56.778114,-40.550716,on
53.81259,-37.960873,mais
65.908585,-40.28891,sur
59.636917,-39.358837,comme
65.73899,-40.30166,par
65.25739,-39.488113,avec
55.836777,-38.690624,tout
53.46785,-37.863197,si
55.294964,-40.438007,a
54.34215,-39.075493,c
65.2506,-41.83443,ses
63.05347,-41.154068,cette
52.54441,-36.91246,me
53.879143,-38.805862,m
53.17048,-37.800095,bien
53.67153,-35.98054,nous
51.781723,-37.504166,j
55.960266,-40.42276,y
53.39729,-38.149834,dit
58.26372,-38.95194,sans
61.00321,-39.49578,où
52.82535,-36.69001,mon
61.681114,-39.37658,ils
64.41549,-41.006115,ces
65.40369,-41.655823,deux
59.2109,-39.299465,même
64.94231,-41.034416,aux
52.11624,-35.66281,ai
56.90035,-38.775547,encore
53.34074,-37.12945,moi
54.82291,-38.513386,fait
55.89347,-39.323345,quand
53.254974,-35.979782,ma
56.679012,-39.298843,être
55.30959,-36.128807,faire
63.66554,-40.971996,leur
63.018322,-39.418213,ou
52.38125,-37.20483,tu
64.14302,-39.54884,dont
63.382755,-39.360714,puis
59.85113,-37.398567,peu
59.813347,-37.993168,homme
61.27851,-36.13026,femme
53.636936,-37.713345,rien
64.57447,-40.245625,tous
53.48875,-37.24282,cela
59.86062,-38.016106,autre
56.825302,-38.48083,aussi
65.47903,-40.518524,sous
66.55701,-33.30254,yeux
57.981136,-38.639736,chez
57.008865,-39.24607,avoir
56.06927,-38.63663,là
57.021603,-38.435696,toujours
53.40963,-37.088585,non
53.346214,-37.626064,ça
53.587948,-36.649555,monsieur
54.036922,-37.88437,jamais
57.462032,-37.939556,alors
60.332592,-39.505062,après
63.79211,-39.674473,étaient
53.889515,-36.347622,donc
57.67241,-38.036762,car
64.16801,-38.633186,toute
60.10142,-36.47887,fois
56.043037,-39.359303,été
63.02403,-38.802994,fut
61.867138,-37.437786,grand
63.71783,-39.703247,sont
54.665276,-35.371883,madame
53.635376,-36.8493,dire
63.833908,-38.96881,devant
53.488224,-35.962296,votre
57.988827,-37.08565,temps
56.12869,-34.33509,voir
57.386196,-38.157722,très
63.73575,-37.412006,jeune
65.078094,-34.12052,tête
59.87875,-37.412495,air
53.32134,-36.27989,suis
61.959232,-34.419395,vie
62.033726,-37.45006,petit
60.39732,-36.010468,jour
65.31071,-41.61187,leurs
62.313946,-38.289497,autres
57.10998,-38.068226,quelque
61.4448,-38.112644,depuis
54.03766,-35.835197,oui
64.45408,-39.974167,toutes
54.45258,-35.40757,ah
59.032707,-33.567844,mère
56.91237,-38.33196,trop
61.42316,-36.82418,ainsi
65.05724,-33.883762,porte
64.41683,-36.951992,fille
63.475452,-33.533398,voix
53.78596,-33.061676,est-ce
60.159626,-30.263062,monde
63.823483,-39.33347,trois
57.47846,-34.57562,moins
62.171505,-39.40315,cet
56.489677,-33.652744,père
59.160507,-33.96487,mes
64.09962,-38.12826,entre
64.35896,-37.469948,petite
61.934513,-38.13915,avaient
60.36334,-36.38866,coup
56.629044,-32.01064,point
60.598804,-36.57627,jusqu
65.41262,-33.11831,main
64.04088,-38.369785,vers
62.44665,-38.351284,elles
54.67123,-32.444984,chose
58.11418,-37.660614,enfin
63.230236,-41.039345,mme
61.491283,-36.792202,déjà
62.49137,-35.51684,pendant
59.42752,-29.839708,moment
63.416664,-39.297546,quelques
63.201527,-38.609043,heures
61.45264,-35.461674,maintenant
52.79587,-33.6359,avais
63.890373,-33.497097,maison
57.821293,-36.232708,peut-être
55.811127,-34.840233,bon
54.671566,-31.475058,eût
63.590305,-38.56343,fit
62.154877,-35.925198,faisait
65.2996,-31.352016,chambre
58.058903,-37.196953,tant
60.36278,-36.247715,heure
55.61583,-33.53893,dieu
61.762196,-38.185104,ont
66.1235,-31.918835,bras
63.554676,-38.69701,contre
62.882874,-30.235027,cœur
54.850418,-34.45043,oh
54.528988,-35.08554,te
57.907726,-33.63838,enfant
63.114574,-33.82606,grande
63.251644,-34.791187,jours
54.76174,-31.853294,faut
62.235947,-34.42991,près
56.76113,-32.66061,ni
60.148415,-30.067327,soir
60.142483,-35.767994,eut
54.63286,-31.704489,aurait
61.622066,-33.56815,paris
56.61123,-34.247078,seulement
66.48313,-31.86668,mains
57.05195,-34.44878,personne
54.329098,-32.114708,eu
62.55167,-33.902325,ans
53.360077,-23.986341,avez
63.27303,-26.692326,nuit
60.713478,-33.916763,notre
60.773056,-33.22412,avant
65.96155,-32.32952,rue
60.08767,-30.943283,mort
56.98866,-32.056988,pouvait
60.655315,-35.81776,venait
63.07791,-33.57772,chaque
64.59464,-30.556248,gens
66.54597,-31.186256,hommes
59.66137,-33.731407,pauvre
56.03014,-32.80916,répondit
58.796577,-30.685696,seul
56.012745,-31.663313,mal
65.24058,-29.63004,côté
60.273735,-33.727325,bonne
54.88893,-31.859755,parce
55.70562,-34.00328,comment
56.370148,-31.291748,ici
56.437614,-27.222698,voilà
57.38045,-28.448849,assez
64.38083,-38.092773,francs
55.735825,-31.750357,peut
60.667183,-35.382004,eux
53.306026,-24.094053,sais
67.50045,-28.334782,milieu
57.397327,-31.090637,serait
54.774906,-34.301323,eh
67.342995,-27.690054,fond
55.96347,-34.10459,c'est
58.064793,-28.392862,doute
61.364048,-32.5311,vieux
62.90053,-34.175232,presque
58.538254,-32.108875,beaucoup
60.45672,-30.850506,nom
56.86011,-30.953596,aller
59.223507,-27.577864,amour
64.27035,-38.009117,mille
66.268486,-30.799088,femmes
55.71032,-32.918804,pourquoi
55.447655,-33.763283,mieux
61.150314,-35.31179,allait
65.50331,-30.1189,place
56.173786,-31.22082,va
60.700645,-30.5021,peine
58.59078,-29.079931,semblait
